Report generated on: 04-21-2023 18:23:46
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-WORL-BDOLPPP.A","    World","27852.417439","28742.8778392","28878.2357623","29692.9260667","31167.2371","32357.3633306","33488.2691439","34855.8766198","42260.2629778226","44238.73944722259","49561.7141236","50520.3614884","51385.4131649","52465.9696907","54014.9894056","55750.2626287","57895.7663255","60218.5099508","61648.1764521","63752.3785162","66817.4806546","68363.6630527","70243.4033127","72845.4092869","76553.7998775","80136.6861759","84288.8859936","88687.7491171","91218.3527334","90547.6120799","95198.7048979","98848.9098992","102157.7105993","105345.2236987","108787.3780936","112308.9095187","115904.7272272","120225.9456056","124621.8288694","128197.1722759","124194.0365262","132054.1255375","136400.9073924"
"INTL.4701-34-AFG-BDOLPPP.A","        Afghanistan","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","37.70134","34.93132","33.51732","30.44972","30.01358","24.27148","18.68738","24.39298","25.26274","23.95642","22.83571","21.74396","20.57994","19.42012","28.85191","33.41251","34.36823","36.94874","40.11277","49.19546","48.65184","53.93951","56.77119","60.61034","66.49145","70.91362","73.0931","72.05595","73.17189","75.10878","76.00197","78.97488","77.44689","67.10945","51.04502"
"INTL.4701-34-ALB-BDOLPPP.A","        Albania","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","15.68773","17.23087","15.5809","11.21792","10.41029","11.40969","12.35672","14.00015","15.2744","13.61899","14.84589","16.85026","17.96654","19.39311","20.2137","21.37394","22.58653","23.88739","25.18473","26.67195","28.68202","29.6441","30.74298","31.52547","31.97236","32.29272","32.86575","33.59499","34.70867","36.02837","37.47645","38.25886","36.92684","40.07133","41.08943"
"INTL.4701-34-DZA-BDOLPPP.A","        Algeria","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","219.9211","229.5976","231.4344","228.6572","232.773","227.8848","225.8338","234.4155","244.0265","246.7108","259.2931","267.5905","277.7589","286.0917","302.1128","323.8649","337.7911","357.7208","363.802","376.1713","385.1994","391.3626","405.4517","417.2098","431.3949","443.4739","460.3259","477.358","492.6334","499.0377","505.0261","510.0764","484.0625","501.0047","516.6248"
"INTL.4701-34-ASM-BDOLPPP.A","        American Samoa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.514","0.527","0.512","0.503","0.496","0.52","0.563","0.678","0.576","0.574","0.644","0.641","0.642","0.661","0.652","0.602","0.636","NA","NA","NA","NA"
"INTL.4701-34-AGO-BDOLPPP.A","        Angola","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","64.49842","64.52527","62.29909","62.9167","59.24345","45.03484","45.63802","52.48373","59.59232","63.92722","66.92613","68.38613","70.47507","73.43926","83.47523","85.97113","95.38498","109.7213","122.3942","139.5415","155.1284","156.4625","164.0665","169.7596","184.2571","193.3778","202.6987","204.604","199.3252","199.0262","196.4065","195.0316","184.1098","186.1351","191.4976"
"INTL.4701-34-ATA-BDOLPPP.A","        Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-ATG-BDOLPPP.A","        Antigua and Barbuda","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.9070073","0.9546448","0.983396","1.0048","1.01644","1.070108","1.141556","1.091788","1.163895","1.227579","1.285657","1.333324","1.349035","1.305944","1.344129","1.423618","1.498878","1.617657","1.824796","1.994314","2.009489","1.769099","1.630392","1.598459","1.652372","1.642443","1.704786","1.77","1.867287","1.926001","2.05858","2.158673","1.722873","1.813694","1.91781"
"INTL.4701-34-ARG-BDOLPPP.A","        Argentina","453.8185","430.0902","416.5064","433.6327","442.3014","411.5604","440.9365","452.3612","443.7921","413.0081","405.4491","448.3387","491.408","514.8649","544.9136","529.4096","558.6681","603.9818","627.2362","606.0016","601.2202","574.7142","512.1012","557.3561","583.4301","635.0734","686.1787","747.9871","778.3349","732.269","806.414","854.8308","846.0566","866.407","844.6376","867.706","849.6548","873.6024","850.7368","833.7147","750.8164","828.8882","872.5277"
